"Respondent","DevEnviron1","DevEnviron2","DevEnviron3","DevEnviron4","DevEnviron5","DevEnviron6","DevEnviron7","DevEnviron8","DevEnviron9","DevEnviron10","DevEnviron11","DevEnviron12","DevEnviron13","DevEnviron14","DevEnviron15","DevEnviron16","DevEnviron17","DevEnviron18","DevEnviron19","DevEnviron20","DevEnviron21","DevEnviron22"
22919,"IntelliJ","RStudio","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22924,"Emacs","IntelliJ","PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22925,"Eclipse","IntelliJ","IPython / Jupyter","Notepad++","PyCharm","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22926,"Atom","Notepad++","PyCharm","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22938,"Android Studio","PyCharm","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22939,"IPython / Jupyter","RStudio","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22953,"IPython / Jupyter","PyCharm","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22961,"Notepad++","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22967,"PyCharm","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22975,"Android Studio","Atom","IntelliJ","IPython / Jupyter","NetBeans","Notepad++","PHPStorm","PyCharm","Visual Studio Code","Zend",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22981,"Coda","Notepad++","PyCharm","RStudio","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22983,"Sublime Text","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22992,"IntelliJ","IPython / Jupyter","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22999,"IPython / Jupyter","Notepad++","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23001,"PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23017,"Android Studio","Emacs","IntelliJ","IPython / Jupyter","PyCharm","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23021,"Coda","IPython / Jupyter","RStudio","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23022,"IntelliJ","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23023,"Atom","Eclipse","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23027,"Atom","IPython / Jupyter","Notepad++","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23066,"IPython / Jupyter","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23073,"Sublime Text","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23074,"Android Studio","Eclipse","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23083,"Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23109,"IPython / Jupyter","RStudio","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23113,"Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23118,"Notepad++","Vim","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23126,"Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23127,"Atom","IPython / Jupyter","Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23129,"Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23131,"IntelliJ","Notepad++","PyCharm","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23132,"Atom","IPython / Jupyter","PHPStorm","PyCharm","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23134,"Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23139,"IPython / Jupyter","Notepad++","PyCharm","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23146,"IPython / Jupyter","PyCharm","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23147,"RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23173,"IntelliJ","IPython / Jupyter","PyCharm","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23174,"Notepad++","Vim","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23187,"Atom","RStudio","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23190,"Eclipse","Vim","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23214,"Notepad++","RStudio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23227,"IntelliJ","IPython / Jupyter","PyCharm","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23231,"Atom","PHPStorm","Sublime Text","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23235,"PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23242,"IntelliJ","PHPStorm","PyCharm","RubyMine","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23243,"Android Studio","Atom","Eclipse","IntelliJ","IPython / Jupyter","PHPStorm","PyCharm","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23246,"Android Studio","IntelliJ","Notepad++","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23250,"Eclipse","Emacs","IPython / Jupyter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23258,"Emacs","IPython / Jupyter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23259,"IntelliJ","Notepad++","PyCharm","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23268,"PHPStorm","Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23281,"Notepad++","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23283,"Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23290,"PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23291,"IPython / Jupyter","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23304,"Atom","IntelliJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23307,"Atom","IPython / Jupyter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23310,"IPython / Jupyter","RStudio","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23319,"Eclipse","IPython / Jupyter","PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23321,"Notepad++","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23326,"Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23337,"IntelliJ","Notepad++","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23339,"Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23355,"IPython / Jupyter","RStudio","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23357,"Android Studio","Atom","Eclipse","IPython / Jupyter","PyCharm","Sublime Text","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23360,"Sublime Text","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23374,"Eclipse","IntelliJ","Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23380,"IntelliJ","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23381,"Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23383,"Android Studio","Atom","Eclipse","IPython / Jupyter","Notepad++","PHPStorm","RStudio","RubyMine","Sublime Text","Visual Studio","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23402,"Notepad++","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23417,"IPython / Jupyter","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23422,"Atom","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23423,"Atom","PyCharm","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23428,"Android Studio","Eclipse","IntelliJ","NetBeans","Notepad++","PyCharm","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23430,"IntelliJ","NetBeans","Notepad++","PHPStorm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23443,"Notepad++","Vim","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23452,"IntelliJ","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23457,"Eclipse","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23458,"Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23461,"Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23468,"IntelliJ","Notepad++","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23469,"Emacs","IPython / Jupyter","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23475,"Notepad++","Sublime Text","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23477,"Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23487,"Android Studio","Atom","Eclipse","IPython / Jupyter","Notepad++","Sublime Text","Vim","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23492,"IPython / Jupyter","Notepad++","PyCharm","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23495,"Android Studio","Eclipse","IntelliJ","IPython / Jupyter","NetBeans","Notepad++","PyCharm","Vim","Visual Studio","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23496,"Notepad++","Vim","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23499,"IntelliJ","IPython / Jupyter","PyCharm","Sublime Text","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23505,"IPython / Jupyter","Notepad++","PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23510,"Notepad++","Vim","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23512,"IPython / Jupyter","Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23523,"Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23525,"IPython / Jupyter","Notepad++","PyCharm","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23529,"Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23530,"IntelliJ","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23536,"IPython / Jupyter","Notepad++","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23538,"Atom","Eclipse","Notepad++","Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23561,"IntelliJ","IPython / Jupyter","PyCharm","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23568,"Atom","IPython / Jupyter","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23573,"IntelliJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23574,"IPython / Jupyter","PyCharm","RStudio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23578,"Eclipse","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23580,"Atom","Notepad++","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23585,"Atom","IntelliJ","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23588,"IPython / Jupyter","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23589,"Android Studio","IntelliJ","PHPStorm","Visual Studio","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23596,"Android Studio","NetBeans","Notepad++","Visual Studio","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23606,"IntelliJ","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23610,"Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23612,"Atom","RStudio","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23614,"IntelliJ","Komodo","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23615,"Eclipse","Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23618,"IPython / Jupyter","Notepad++","RStudio","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23628,"IntelliJ","Notepad++","PHPStorm","PyCharm","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23645,"Eclipse","NetBeans","Notepad++","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23650,"Android Studio","Atom","IntelliJ","RubyMine","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23660,"Atom","Eclipse","Notepad++","Vim","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23662,"Emacs","IntelliJ","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23666,"IPython / Jupyter","Notepad++","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23676,"PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23680,"Atom","IPython / Jupyter","PyCharm","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23687,"Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23700,"Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23710,"Notepad++","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23714,"PyCharm","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23716,"Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23717,"Atom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23719,"PyCharm","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23734,"RStudio","Sublime Text","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23746,"IntelliJ","IPython / Jupyter","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23751,"IPython / Jupyter","Visual Studio Code","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23760,"Android Studio","Notepad++","Visual Studio","Xcode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23778,"Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23780,"Android Studio","Notepad++","Vim","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23787,"Eclipse","Notepad++",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23788,"Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23791,"PyCharm","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23800,"Atom","IntelliJ","IPython / Jupyter","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23805,"PHPStorm","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23816,"Atom","Eclipse","IPython / Jupyter","Notepad++","PyCharm","RStudio","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23818,"IntelliJ","IPython / Jupyter","PyCharm","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23830,"Eclipse","IntelliJ","Notepad++","Vim","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23837,"Atom","Emacs","IPython / Jupyter","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23843,"PHPStorm","PyCharm","Sublime Text","Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23850,"NetBeans","Notepad++","PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23858,"PyCharm","RStudio","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23865,"Notepad++","PyCharm","RStudio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23872,"Android Studio","Atom","Coda","Eclipse","Emacs","IntelliJ","IPython / Jupyter","Komodo","Light Table","NetBeans","Notepad++","PHPStorm","PyCharm","RStudio","RubyMine","Sublime Text","TextMate","Vim","Visual Studio","Visual Studio Code","Xcode","Zend"
23882,"IPython / Jupyter","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23886,"Android Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23903,"IPython / Jupyter","PyCharm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23916,"Atom","IPython / Jupyter","Notepad++","Sublime Text","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23922,"Android Studio","Eclipse","IPython / Jupyter","NetBeans","Notepad++","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23925,"IntelliJ","IPython / Jupyter","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23931,"Android Studio","IntelliJ","IPython / Jupyter","PyCharm","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23939,"Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23943,"Atom","IntelliJ","PHPStorm","Sublime Text","Visual Studio","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23963,"Atom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23966,"Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23970,"Android Studio","Sublime Text","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23971,"IPython / Jupyter","Notepad++","RStudio","Visual Studio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23972,"Vim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23982,"Emacs","IntelliJ","Notepad++","PHPStorm","PyCharm","Sublime Text",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23987,"Emacs","IntelliJ","PyCharm","Visual Studio Code",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
