"Respondent","OpSys"
21306,"Linux-based"
21310,"Windows"
21314,"Windows"
21319,"MacOS"
21322,"Windows"
21325,"Windows"
21330,"Linux-based"
21337,"Windows"
21338,"Linux-based"
21366,"Linux-based"
21376,"Windows"
21385,"Windows"
21398,"Linux-based"
21412,"Windows"
21418,"Linux-based"
21422,"Windows"
21423,"MacOS"
21446,"Windows"
21451,"Windows"
21457,"Linux-based"
21461,"Linux-based"
21463,"Linux-based"
21478,"Linux-based"
21485,"Linux-based"
21491,"Windows"
21497,"Linux-based"
21500,"Linux-based"
21503,"MacOS"
21515,"MacOS"
21518,"MacOS"
21523,"Linux-based"
21525,"Windows"
21532,"MacOS"
21534,"MacOS"
21537,"Windows"
21538,"Linux-based"
21544,"Windows"
21545,"Windows"
21547,"Windows"
21549,"MacOS"
21552,"MacOS"
21563,"Windows"
21569,"MacOS"
21574,"Windows"
21576,"Linux-based"
21580,"Windows"
21584,"Windows"
21585,"Linux-based"
21587,"Linux-based"
21591,"MacOS"
21594,"Windows"
21597,"Linux-based"
21604,"Linux-based"
21607,"Windows"
21624,"MacOS"
21630,"MacOS"
21631,"Linux-based"
21632,"MacOS"
21650,"Windows"
21653,"Linux-based"
21670,"MacOS"
21672,"Linux-based"
21673,"Windows"
21678,"Windows"
21685,"Windows"
21697,"Linux-based"
21699,"Linux-based"
21701,"MacOS"
21706,"Windows"
21709,"Linux-based"
21713,"Linux-based"
21718,"MacOS"
21720,"Windows"
21730,"MacOS"
21732,"MacOS"
21740,"MacOS"
21751,"Windows"
21752,"Windows"
21760,"Windows"
21764,"Windows"
21768,"Linux-based"
21785,"Windows"
21790,"Windows"
21804,"MacOS"
21820,"Windows"
21821,"MacOS"
21828,"Windows"
21848,"MacOS"
21849,"Linux-based"
21855,"MacOS"
21857,"Linux-based"
21876,"Windows"
21886,"Linux-based"
21896,"Windows"
21901,"Windows"
21902,"Windows"
21917,"Windows"
21920,"MacOS"
21925,"MacOS"
21931,"Windows"
21935,"Windows"
21942,"Windows"
21948,"Windows"
21955,"Windows"
21963,"Windows"
21964,"MacOS"
21969,"Linux-based"
21974,"Windows"
21986,"Linux-based"
21992,"MacOS"
21994,"Linux-based"
22003,"Linux-based"
22004,"MacOS"
22011,"Windows"
22013,"Windows"
22018,"Linux-based"
22030,"Windows"
22032,"MacOS"
22035,"Linux-based"
22041,"Windows"
22044,"MacOS"
22045,"Windows"
22058,"MacOS"
22065,"Windows"
22067,"MacOS"
22068,"Linux-based"
22081,"Linux-based"
22091,NA
22101,"MacOS"
22107,"Linux-based"
22114,"Windows"
22119,"Linux-based"
22123,"Windows"
22129,"Windows"
22136,"Linux-based"
22152,"Windows"
22153,"Windows"
22156,"Windows"
22161,"Windows"
22173,"Windows"
22184,"Linux-based"
22198,"Linux-based"
22201,"Linux-based"
22206,"Windows"
22207,"Linux-based"
22217,"MacOS"
22221,"MacOS"
22224,"Windows"
22225,"Windows"
22226,"Windows"
22231,"Linux-based"
22232,"Windows"
22236,"Windows"
22241,"MacOS"
22244,"MacOS"
22256,"Linux-based"
22259,"Windows"
22266,"Windows"
22270,"Windows"
22279,"Windows"
22287,"Windows"
22290,"Windows"
22291,"Windows"
22306,"Windows"
22313,"MacOS"
22314,"Linux-based"
22321,"Windows"
22326,"Windows"
22327,"Linux-based"
22329,"MacOS"
22333,"MacOS"
22339,"Linux-based"
22351,"Windows"
22356,"Linux-based"
22364,"Linux-based"
22375,"Linux-based"
22393,"Linux-based"
22408,"Windows"
22418,"Windows"
22419,"MacOS"
22427,"MacOS"
22428,"Windows"
22449,"MacOS"
22451,"Windows"
22454,"Linux-based"
22471,"MacOS"
22473,"Windows"
22475,NA
22476,"Windows"
22478,"Linux-based"
22479,"Windows"
22487,"MacOS"
22506,"Windows"
22510,"Linux-based"
22522,"Linux-based"
22523,"Windows"
22531,"Linux-based"
22535,"MacOS"
22537,"Linux-based"
22538,"Linux-based"
22539,"Linux-based"
22554,"Windows"
22556,"MacOS"
22580,"Windows"
22595,"Windows"
22601,"Windows"
22609,"Windows"
22614,"Windows"
22617,"Windows"
22620,"Windows"
22621,"Windows"
22638,"Windows"
22640,"Linux-based"
22641,"Windows"
22645,"Windows"
22652,"Windows"
22658,"Windows"
22664,"Windows"
22683,"Linux-based"
22685,"Linux-based"
22687,"Windows"
22689,"Linux-based"
22691,"Windows"
22692,"Linux-based"
22693,"MacOS"
22698,"Windows"
22701,"Linux-based"
22702,"Windows"
22705,"Windows"
22721,"Windows"
22734,"Linux-based"
22752,"Linux-based"
22755,"Linux-based"
22756,"Linux-based"
22763,"Windows"
22769,"MacOS"
22771,"Windows"
22780,"Windows"
22782,"Windows"
22790,"Windows"
22792,"Linux-based"
22800,"MacOS"
22803,"Linux-based"
22808,"Windows"
22819,"Linux-based"
22828,"Windows"
22854,"Windows"
22857,"Windows"
22862,"MacOS"
22868,"Linux-based"
22874,"Linux-based"
22885,"Windows"
22891,"Linux-based"
22905,"Windows"
22908,"MacOS"
22918,"MacOS"
22919,"Windows"
22924,"Linux-based"
22925,"Windows"
22926,"Windows"
22938,"Windows"
22939,"Linux-based"
22953,"Linux-based"
22961,"Linux-based"
22967,"Windows"
22975,"Windows"
22981,"MacOS"
22983,"Windows"
22992,"MacOS"
22999,"MacOS"
23001,"Windows"
23017,"MacOS"
23021,"MacOS"
23022,"Linux-based"
23023,"Linux-based"
23027,"Windows"
23066,"Windows"
23073,"Windows"
23074,"Windows"
23083,"Linux-based"
23109,"Windows"
23113,"Linux-based"
23118,"Windows"
23126,"MacOS"
23127,"Linux-based"
23129,"Windows"
23131,"Windows"
23132,"MacOS"
23134,"Linux-based"
23139,"Windows"
23146,"Windows"
23147,"Windows"
23173,"Linux-based"
23174,"Windows"
23176,"MacOS"
23187,"MacOS"
23190,"MacOS"
23214,"Windows"
23227,"MacOS"
23231,"MacOS"
23235,"MacOS"
23242,"Windows"
23243,"Windows"
23246,"Linux-based"
23250,"MacOS"
23258,"Linux-based"
23259,"MacOS"
23268,"MacOS"
23281,"Windows"
23283,"MacOS"
23290,"Windows"
23291,"Linux-based"
23304,"MacOS"
23307,"Windows"
23310,"BSD"
23319,"Windows"
23321,"Windows"
23326,"Linux-based"
23337,"Linux-based"
23339,"Windows"
23355,"Windows"
23357,"Windows"
23360,"Linux-based"
23374,"Windows"
23380,"MacOS"
23381,"Linux-based"
23383,"Windows"
23402,"Windows"
23417,"Windows"
23422,"Linux-based"
23423,"MacOS"
23428,"Windows"
23430,"Windows"
23443,NA
23452,"Linux-based"
23457,"Windows"
23458,"Windows"
23461,"Windows"
23468,"Windows"
23469,"Linux-based"
23475,"Windows"
23477,"Windows"
23487,"Linux-based"
23492,"Windows"
23495,"Windows"
23496,"Windows"
23499,"MacOS"
23505,"Windows"
23510,"Windows"
23512,"MacOS"
23523,"Windows"
23525,"Linux-based"
23529,"MacOS"
23530,"MacOS"
23536,"Windows"
23538,"Linux-based"
23561,"MacOS"
23568,"Windows"
23573,"MacOS"
23574,"MacOS"
23578,"Linux-based"
23580,"Windows"
23585,"MacOS"
23588,"Linux-based"
23589,"MacOS"
23596,"Windows"
23606,"Linux-based"
23610,"Windows"
23612,"Windows"
23614,"Linux-based"
23615,"Windows"
23618,"Linux-based"
23628,"Windows"
23645,"Windows"
23650,"MacOS"
23660,"Windows"
23662,"Linux-based"
23666,"Windows"
23676,"MacOS"
23680,"Linux-based"
23687,"Linux-based"
23700,"Linux-based"
23710,"Windows"
23714,"Windows"
23716,"Windows"
23717,"BSD"
23719,"Windows"
23734,"Windows"
23746,"Linux-based"
23751,"MacOS"
23760,"Windows"
23778,"Windows"
23780,"Windows"
23787,"Linux-based"
23788,"Linux-based"
23791,"Linux-based"
23800,"Windows"
23805,NA
23816,"Windows"
23818,"Linux-based"
23830,"Linux-based"
23837,"MacOS"
23843,"MacOS"
23850,"Linux-based"
23858,"Linux-based"
23865,"Windows"
23872,"Windows"
23882,"Linux-based"
23886,"Windows"
23903,"Windows"
23916,"Windows"
23922,"Windows"
23925,"Windows"
23931,"Linux-based"
23939,"Windows"
23943,"Linux-based"
23963,"MacOS"
23966,"Windows"
23970,"Linux-based"
23971,"Windows"
23972,"Linux-based"
23982,"MacOS"
23987,"MacOS"
23990,"MacOS"
23991,"Windows"
24003,"Windows"
24012,"Linux-based"
24015,"Windows"
24024,"MacOS"
24027,"MacOS"
24041,"Windows"
24051,"Windows"
24069,"Linux-based"
24073,"MacOS"
24077,"MacOS"
24080,"Linux-based"
24085,"MacOS"
24090,"Linux-based"
24098,"Windows"
24100,"Linux-based"
24106,"MacOS"
24111,"Windows"
24113,"Windows"
24126,"Linux-based"
24151,"Windows"
24155,"Windows"
24161,"Windows"
24170,"Windows"
24176,"Windows"
24181,"Windows"
24196,"Linux-based"
24200,"Linux-based"
24206,"Linux-based"
24209,"MacOS"
24214,"Linux-based"
24227,"Linux-based"
24231,"Windows"
24233,"Windows"
24248,"Windows"
24258,"Windows"
24265,"MacOS"
24268,"MacOS"
24270,"Windows"
24273,"Windows"
24290,"Windows"
24294,"Windows"
24299,"Windows"
24315,"Windows"
24320,"MacOS"
24326,"MacOS"
24331,"Windows"
24340,"Linux-based"
24343,"MacOS"
24347,"Windows"
24349,"Windows"
24354,"Windows"
24357,"Windows"
24374,"Windows"
24385,"Windows"
24389,"Windows"
24401,"MacOS"
24404,"Windows"
24411,"Windows"
24430,"Windows"
24433,"MacOS"
24437,"Linux-based"
24448,"MacOS"
24452,"Linux-based"
24455,"Linux-based"
24470,"MacOS"
24478,"Windows"
24481,"Linux-based"
24486,"Windows"
24487,"Windows"
24503,"Windows"
24506,"Linux-based"
24507,"Linux-based"
24511,"Linux-based"
24521,"Linux-based"
24524,"Linux-based"
24534,"Windows"
24553,"Windows"
24570,"Linux-based"
24591,"Windows"
24600,"MacOS"
24614,"Windows"
24622,"Linux-based"
24626,"MacOS"
24627,"Linux-based"
24632,"Windows"
24637,"Windows"
24644,"MacOS"
24648,"Windows"
24651,"Windows"
24653,"Linux-based"
24655,"Windows"
24678,"Linux-based"
24692,"Linux-based"
24693,"Linux-based"
24709,"Windows"
24710,"Windows"
24723,"Windows"
24743,"Windows"
24744,"Windows"
24755,"MacOS"
24758,"Windows"
24770,"Windows"
24774,"Linux-based"
24775,"Windows"
24779,"Windows"
24791,"Linux-based"
24794,"Linux-based"
24795,"MacOS"
24800,"Linux-based"
24802,"MacOS"
24809,"Linux-based"
24833,"Windows"
24838,"Windows"
24850,"Linux-based"
24852,"Windows"
24856,"Windows"
24857,"Windows"
24862,"MacOS"
24900,"Linux-based"
24908,"MacOS"
24915,"Linux-based"
24929,"Windows"
24939,"MacOS"
24940,"Windows"
24944,"Windows"
24945,"Windows"
24960,"Windows"
24967,"MacOS"
24973,"MacOS"
24976,"MacOS"
24981,"Linux-based"
25003,"Linux-based"
25009,"Linux-based"
25020,"Windows"
25032,"MacOS"
25034,"MacOS"
25036,"Windows"
25038,"MacOS"
25052,"Windows"
25074,"Linux-based"
25079,"Linux-based"
25084,"Linux-based"
25090,"Linux-based"
25091,"MacOS"
25100,"Windows"
25121,"Windows"
25126,"Linux-based"
25127,"Windows"
25129,"Windows"
25130,"Windows"
25133,"Windows"
25134,"Windows"
25136,"Windows"
25141,"Windows"
25155,"Windows"
25157,"MacOS"
25159,"MacOS"
25172,"Linux-based"
25185,"Windows"
25186,"MacOS"
25225,"Windows"
25232,"Windows"
25234,"Windows"
25247,"Windows"
25253,"MacOS"
25276,"Windows"
25281,"Windows"
25297,"MacOS"
25300,"Windows"
25302,"Linux-based"
25313,"Windows"
25323,"Linux-based"
25324,"MacOS"
25345,"Linux-based"
25346,"MacOS"
25347,"Windows"
25372,"Linux-based"
25373,"Windows"
25374,NA
25405,"Windows"
25407,"Windows"
25418,"Windows"
25430,"Windows"
25436,"MacOS"
25445,"Linux-based"
25449,"Linux-based"
25457,"Linux-based"
25469,"MacOS"
25477,"Linux-based"
25480,"Windows"
25498,"MacOS"
25499,"Linux-based"
25501,"MacOS"
25505,"Windows"
25511,"Linux-based"
25516,"Linux-based"
25518,"Linux-based"
25532,"MacOS"
25541,"Windows"
25546,"MacOS"
25551,"Linux-based"
25555,"Linux-based"
25563,"MacOS"
25565,"Windows"
25590,"Windows"
25591,"Windows"
25598,"Windows"
25600,"Linux-based"
25605,"Windows"
25608,"Windows"
25618,"MacOS"
25628,"MacOS"
25632,"Linux-based"
25638,"Linux-based"
25644,"Windows"
25645,"Windows"
25647,"Linux-based"
25652,"Linux-based"
25656,"Windows"
25664,"Windows"
25673,"Windows"
25683,"Windows"
25690,"Linux-based"
25693,"Windows"
25700,"Linux-based"
25703,"Windows"
25705,"Windows"
25721,"MacOS"
25722,"Linux-based"
25726,"Windows"
25728,"MacOS"
25731,"MacOS"
25737,"Linux-based"
25743,"Linux-based"
25746,"Windows"
25748,"Windows"
25761,"Windows"
25763,"Linux-based"
25780,"Windows"
25787,"Linux-based"
25790,"Windows"
25793,"Windows"
25798,"Windows"
25801,"Windows"
25807,"Linux-based"
25816,"Linux-based"
25819,"Windows"
25822,"Windows"
25823,"MacOS"
25824,"MacOS"
25830,"Windows"
25831,"Linux-based"
25834,"Linux-based"
25843,"MacOS"
25845,"MacOS"
25846,"MacOS"
25849,"Windows"
25853,"Windows"
25854,"Windows"
25868,"Linux-based"
25869,"Windows"
25871,"MacOS"
25873,"Windows"
25879,"Windows"
25883,"Windows"
25884,"Linux-based"
25890,"Linux-based"
25892,"Windows"
25902,"Windows"
25913,"MacOS"
25929,"Windows"
25931,"Windows"
25935,"Windows"
25944,"MacOS"
25945,"Windows"
25949,"Windows"
25954,"Windows"
25955,"MacOS"
25956,"Linux-based"
25966,"Windows"
25967,"Windows"
25975,"Windows"
25982,"Linux-based"
25989,"Linux-based"
25992,"Linux-based"
25998,"Windows"
26000,"Windows"
26003,"Windows"
26012,"MacOS"
26015,"Linux-based"
26016,"MacOS"
26017,"Windows"
26024,"Windows"
26025,"MacOS"
26030,"Windows"
26037,"Linux-based"
26052,"MacOS"
26063,"MacOS"
26064,"Linux-based"
26069,"MacOS"
26074,"Linux-based"
26075,"MacOS"
26082,"Windows"
26086,"Linux-based"
26104,"MacOS"
26107,"Windows"
26111,"Windows"
26132,"MacOS"
26138,"Windows"
26141,"Windows"
26143,"Windows"
26148,"Linux-based"
26158,"Linux-based"
26180,"Windows"
26190,"Windows"
26204,"Windows"
26214,"Linux-based"
26217,"Linux-based"
26220,"Windows"
26234,"Linux-based"
26240,"Windows"
26241,"Windows"
26256,"MacOS"
26280,"MacOS"
26281,"Linux-based"
26289,"MacOS"
26291,"Linux-based"
26300,"Windows"
26308,"Linux-based"
26319,NA
26322,"MacOS"
26328,"Windows"
26333,"Windows"
26338,"Windows"
26339,"Linux-based"
26347,"MacOS"
26348,"Linux-based"
26352,"Windows"
26357,"Windows"
26369,"Windows"
26373,"Linux-based"
26377,"Linux-based"
26387,"Windows"
26393,"MacOS"
26395,"Linux-based"
26406,"Windows"
26414,"Linux-based"
26417,"Linux-based"
26424,"Windows"
26453,"MacOS"
26460,"Linux-based"
26465,"Linux-based"
26468,"Linux-based"
26469,"MacOS"
26470,"MacOS"
26477,"Windows"
26482,"Linux-based"
26484,"Windows"
26490,"Windows"
26495,"Linux-based"
26499,"Windows"
26506,"Windows"
26509,"Windows"
26515,"Linux-based"
26517,"Linux-based"
26519,"Windows"
26527,"Windows"
26532,"Windows"
26534,"Windows"
26543,"MacOS"
26548,"MacOS"
26564,"MacOS"
26568,"Linux-based"
26572,"MacOS"
26582,"Linux-based"
26584,"Windows"
26585,"Windows"
26590,"Windows"
26592,"MacOS"
26594,"Linux-based"
26611,"Windows"
26619,"Windows"
26622,"MacOS"
26627,NA
26634,"MacOS"
26656,NA
26666,"Linux-based"
26671,"Linux-based"
26674,"Linux-based"
26676,"Windows"
26682,"Windows"
26696,"Linux-based"
26697,"MacOS"
26709,"Linux-based"
26710,"Linux-based"
26713,"Windows"
26716,"Windows"
26717,"Windows"
26728,NA
26730,"Windows"
26740,"Linux-based"
26772,"Windows"
26790,"Linux-based"
26791,"MacOS"
26793,"Linux-based"
26795,"Linux-based"
26799,"Windows"
26802,"Windows"
26808,"Windows"
26816,"Windows"
26818,"Windows"
26819,"MacOS"
26822,"Windows"
26825,"MacOS"
26826,"MacOS"
26834,NA
26835,"Linux-based"
26852,"MacOS"
26857,"MacOS"
26858,"Linux-based"
26863,"Linux-based"
26870,"Linux-based"
26889,"Windows"
26891,"Linux-based"
26892,"MacOS"
26915,"Windows"
26919,"Linux-based"
26932,"Linux-based"
26943,"Windows"
26948,"MacOS"
26954,NA
26955,"MacOS"
26959,"Linux-based"
26964,"Windows"
26966,"Linux-based"
26973,"Linux-based"
26981,"Linux-based"
26988,"Linux-based"
26989,"Windows"
26990,"Windows"
26993,"Linux-based"
26997,"Linux-based"
27000,"Linux-based"
27014,"MacOS"
27018,"MacOS"
27053,"Windows"
27054,"Windows"
27071,"Windows"
27074,"Windows"
27076,"Linux-based"
27081,"Windows"
27084,"MacOS"
27098,"Linux-based"
27117,"Windows"
27119,"Windows"
27138,"MacOS"
27144,"MacOS"
27146,"Windows"
27155,"Windows"
27168,"Windows"
27178,"Windows"
27180,"Windows"
27185,"Windows"
27192,"Windows"
27194,"Windows"
27201,"Windows"
27211,"Linux-based"
27222,"Windows"
27223,"MacOS"
27225,"Windows"
27230,"Windows"
27236,"Windows"
27247,"MacOS"
27248,"MacOS"
27259,"Windows"
27262,"MacOS"
27265,"Windows"
27274,"Windows"
27280,"Linux-based"
27285,"Windows"
27286,"Windows"
27289,"Linux-based"
27300,"Windows"
27309,"Windows"
27312,"MacOS"
27314,"Linux-based"
27319,"MacOS"
27334,"Windows"
27354,"MacOS"
27360,"Windows"
27367,"MacOS"
27370,"Linux-based"
27377,"Windows"
27383,"MacOS"
27384,"Windows"
27393,"Windows"
27404,"Windows"
27406,"Windows"
27407,"MacOS"
27408,"Windows"
27412,"Windows"
27413,"Windows"
27425,"Linux-based"
27439,"Windows"
27445,"Linux-based"
27454,"Windows"
27455,"Windows"
27456,"Windows"
27458,"Windows"
27459,"MacOS"
27475,"Linux-based"
27485,"Linux-based"
27495,"Linux-based"
27502,"Linux-based"
27509,"Windows"
27530,"MacOS"
27539,"Windows"
27546,"Linux-based"
27549,"Windows"
27554,"Linux-based"
27555,"Windows"
27556,"Linux-based"
27566,"Windows"
27579,"MacOS"
27582,"MacOS"
27601,"MacOS"
27604,"Linux-based"
27605,"Windows"
27608,"MacOS"
27621,"Linux-based"
27627,"Windows"
27630,"MacOS"
27634,"MacOS"
27635,"MacOS"
27636,"Linux-based"
27641,"Windows"
27645,"Linux-based"
27646,"MacOS"
27649,"MacOS"
27650,"Windows"
27653,"Windows"
27655,"Windows"
27656,"Linux-based"
27664,"Windows"
27671,"MacOS"
27678,"MacOS"
27684,"Linux-based"
27685,"Windows"
27698,"Windows"
27709,"Linux-based"
27714,"Linux-based"
27718,"Linux-based"
27722,"MacOS"
27723,"Windows"
27728,"MacOS"
27736,"Windows"
27737,"Windows"
27739,"Linux-based"
27742,"Windows"
27749,"Windows"
27753,"Windows"
27754,"MacOS"
27759,"Windows"
27760,"MacOS"
27766,"Windows"
27769,"Windows"
27771,"MacOS"
27773,"Linux-based"
27792,"Windows"
27793,"MacOS"
27799,"Linux-based"
27817,"Windows"
27821,"Windows"
27828,"Windows"
27829,"Linux-based"
27847,"MacOS"
27850,"Windows"
27852,"Linux-based"
27854,"Windows"
27855,"Windows"
27858,"Linux-based"
27859,"Linux-based"
27865,"Windows"
27867,"Windows"
27870,"MacOS"
27872,"Windows"
27879,"Windows"
27901,"Windows"
27904,"MacOS"
27907,"MacOS"
27910,"Windows"
27918,"Linux-based"
27919,"Windows"
27921,"Windows"
27934,"Linux-based"
27938,"Linux-based"
27943,"Windows"
27954,"Linux-based"
27967,"Linux-based"
27973,"Windows"
27982,"Windows"
27993,"Windows"
28001,"Windows"
28010,"Linux-based"
28014,"Windows"
28020,"MacOS"
28026,"MacOS"
28029,"Linux-based"
28033,"Windows"
28034,"Windows"
28035,"Windows"
28040,"Linux-based"
28063,"Windows"
28064,"MacOS"
28065,"MacOS"
28074,NA
28083,"MacOS"
28085,"Windows"
28090,"Windows"
28092,"Linux-based"
28111,"Linux-based"
28127,"Linux-based"
28130,"MacOS"
28132,"Windows"
28133,"Windows"
28165,"MacOS"
28169,"Linux-based"
28174,"Windows"
28195,"MacOS"
28200,"Windows"
28204,"Windows"
28209,"Windows"
28218,"Linux-based"
28223,"MacOS"
28227,"Windows"
28233,"Linux-based"
28242,"Windows"
28244,"Linux-based"
28249,"Windows"
28252,"Windows"
28256,"Linux-based"
28262,"Windows"
28265,"Windows"
28266,"Windows"
28290,"Windows"
28294,"Linux-based"
28296,"Windows"
28302,"Windows"
28311,"Linux-based"
28322,"Windows"
28325,"Linux-based"
28329,"Windows"
28333,"Windows"
28345,"Windows"
28346,"Windows"
28348,"MacOS"
28352,"Windows"
28371,"MacOS"
28373,"MacOS"
28384,"Linux-based"
28387,"Linux-based"
28398,"Linux-based"
28406,"Linux-based"
28407,"Windows"
28408,"Windows"
28416,"Windows"
28434,"Windows"
28445,"Linux-based"
28469,"Windows"
28472,"MacOS"
28474,"Windows"
28478,"Windows"
28481,"Linux-based"
28492,"MacOS"
28494,"Windows"
28495,"Windows"
28497,"MacOS"
28512,"Linux-based"
28513,"Linux-based"
28531,"Windows"
28537,"MacOS"
28540,"MacOS"
28551,"Windows"
28552,"Windows"
28555,"Windows"
28560,"Windows"
28569,"Linux-based"
28571,"Windows"
28575,"Windows"
28576,"Windows"
28581,"MacOS"
28586,"MacOS"
28592,"MacOS"
28594,"Linux-based"
28597,"MacOS"
28601,"MacOS"
28608,"Windows"
28610,"Linux-based"
28614,"Windows"
28620,"MacOS"
28621,"Linux-based"
28628,"MacOS"
28634,"MacOS"
28636,"Windows"
28642,"Linux-based"
28650,"Linux-based"
28653,"Linux-based"
28663,"Windows"
28667,"Windows"
28670,"MacOS"
28681,"MacOS"
28682,"Windows"
28693,"Windows"
28705,"Linux-based"
28720,"Linux-based"
28731,"Windows"
28741,"Windows"
28743,"Linux-based"
28747,"Windows"
28750,"Linux-based"
28754,"Linux-based"
28769,"Linux-based"
28777,"Linux-based"
28782,"Linux-based"
28786,"Windows"
28793,"MacOS"
28795,"Linux-based"
28796,"Linux-based"
28800,"Windows"
28816,"Windows"
28828,"Windows"
28829,"Windows"
28837,"Linux-based"
28838,"Linux-based"
28854,"Windows"
28856,"Linux-based"
28858,"Linux-based"
28864,"Linux-based"
28872,"Windows"
28873,"Windows"
28879,"Linux-based"
28882,"Linux-based"
28892,"MacOS"
28908,"Linux-based"
28911,"Linux-based"
28912,"Windows"
28921,"Windows"
28929,"Windows"
28936,"Windows"
28938,"Linux-based"
28947,"Windows"
28951,"Windows"
28952,"Windows"
28959,"Windows"
28969,"MacOS"
28974,"MacOS"
28982,"Windows"
28983,"MacOS"
28986,"MacOS"
28988,"Windows"
29001,"Windows"
29002,"Windows"
29010,"MacOS"
29017,"Windows"
29020,"Windows"
29021,"Windows"
29040,"Linux-based"
29041,"Windows"
29045,"BSD"
29052,"Windows"
29054,"Windows"
29079,"MacOS"
29081,"Windows"
29086,"Linux-based"
29111,"MacOS"
29113,"MacOS"
29118,"Windows"
29121,"MacOS"
29129,"Windows"
29141,"Windows"
29142,"Windows"
29147,"MacOS"
29150,"Linux-based"
29171,"Windows"
29173,"Linux-based"
29177,"MacOS"
29188,"Linux-based"
29195,"MacOS"
29197,"MacOS"
29207,"Windows"
29208,"Windows"
29216,"Linux-based"
29217,"Windows"
29218,"Linux-based"
29222,"Windows"
29234,"Windows"
29241,"Linux-based"
29247,"Windows"
29259,"Linux-based"
29274,"Linux-based"
29290,"Windows"
29306,"MacOS"
29308,"Windows"
29314,"Linux-based"
29318,"Windows"
29324,"Linux-based"
29327,"Linux-based"
29339,"Windows"
29348,"Linux-based"
29349,"Linux-based"
29356,"Windows"
29357,"Windows"
29362,"MacOS"
29364,"Windows"
29374,"Windows"
29375,"Windows"
29398,"Windows"
29403,"Windows"
29405,"MacOS"
29407,"Windows"
29417,"Windows"
29419,"Windows"
29422,"Linux-based"
29430,"MacOS"
29438,"Linux-based"
29444,"Linux-based"
29454,"Linux-based"
29458,"Linux-based"
29473,"MacOS"
29477,"MacOS"
29481,"Windows"
29484,"Windows"
29486,"MacOS"
29487,"Windows"
29497,"MacOS"
29502,"MacOS"
29506,"MacOS"
29512,"MacOS"
29516,"Windows"
29517,"Linux-based"
29519,"MacOS"
29520,"Windows"
29525,"Windows"
29526,"Windows"
29527,"Windows"
29543,"MacOS"
29557,"Windows"
29576,"Linux-based"
29580,"MacOS"
29584,"MacOS"
29585,"Linux-based"
29586,"MacOS"
29587,"Linux-based"
29588,"Linux-based"
29589,"Linux-based"
29613,"Linux-based"
29626,"Linux-based"
29628,"MacOS"
29633,"Windows"
29637,"Windows"
29642,"Windows"
29647,"Linux-based"
29656,"Windows"
29661,"MacOS"
29662,"MacOS"
29669,"MacOS"
29675,"MacOS"
29676,"Windows"
29678,"MacOS"
29684,"Windows"
29689,"MacOS"
29691,"Windows"
29698,"Windows"
29699,"Windows"
29705,"MacOS"
29710,"Windows"
29717,"Linux-based"
29720,"MacOS"
29728,"MacOS"
29730,"MacOS"
29734,"Linux-based"
29751,"Windows"
29760,"Linux-based"
29763,"Windows"
29777,"MacOS"
29791,"Windows"
29796,"Linux-based"
29803,"Linux-based"
29805,"MacOS"
29813,"MacOS"
29816,"Windows"
29830,"Linux-based"
29840,"MacOS"
29844,"MacOS"
29845,"Linux-based"
29851,"Windows"
29858,"Windows"
29866,"Linux-based"
29867,"Linux-based"
29874,"Windows"
29881,"Windows"
29885,"Linux-based"
29897,"Windows"
29903,"Windows"
29906,"Windows"
29918,"Windows"
29920,"Windows"
29935,"Windows"
29936,"Linux-based"
29940,"Windows"
29947,"Windows"
29962,"MacOS"
29967,"Windows"
29968,"Linux-based"
29980,"Windows"
29982,"Linux-based"
29993,"Windows"
29999,"Windows"
30006,"Windows"
30008,"Windows"
30009,"Linux-based"
30015,"Windows"
30022,"Windows"
30023,"MacOS"
30024,"MacOS"
30036,"MacOS"
30042,"Windows"
30055,"Windows"
30060,"Linux-based"
30062,"Windows"
30081,"Linux-based"
30085,"Linux-based"
30088,"Windows"
30094,"MacOS"
30105,"Windows"
30108,"MacOS"
30111,"MacOS"
30121,"Linux-based"
30143,"MacOS"
30145,"Windows"
30147,"Windows"
30149,"Linux-based"
30150,"Linux-based"
30163,"Linux-based"
30164,"Windows"
30187,"Linux-based"
30196,"Windows"
30200,"Windows"
30215,"Linux-based"
30218,"MacOS"
30225,"Linux-based"
30232,"Linux-based"
30236,NA
30240,"Windows"
30245,"Windows"
30247,"Windows"
30268,"MacOS"
30269,"Windows"
30277,"MacOS"
30286,"Linux-based"
30290,"Windows"
30292,"MacOS"
30296,"Linux-based"
30307,"MacOS"
30309,"Windows"
30318,"Linux-based"
30319,"Windows"
30320,"Linux-based"
30326,"MacOS"
30329,"Windows"
30341,"Linux-based"
30347,"Linux-based"
30351,"Linux-based"
30357,"Windows"
30376,"Linux-based"
30377,"Windows"
30384,"MacOS"
30391,"BSD"
30404,"Windows"
30413,"MacOS"
30417,"Windows"
30420,"Windows"
30429,"Windows"
30430,"Windows"
30433,"MacOS"
30436,"Windows"
30437,"MacOS"
30442,"Linux-based"
30446,"Windows"
30451,"Linux-based"
30459,"Windows"
30460,"MacOS"
30461,"Windows"
30465,"Windows"
30470,"MacOS"
30472,"Linux-based"
30474,"Windows"
30475,"Windows"
30479,"Linux-based"
30486,"MacOS"
30514,"Windows"
30524,"Windows"
30526,"Linux-based"
30534,"MacOS"
30548,"MacOS"
