"Respondent","Age","Gender","Ethnicity","Country","UndergradMajor","JobSat"
19653,23,"Man","South Asian","Canada","Computer science, computer engineering, or software engineering","Very satisfied"
19655,28,"Man","White or of European descent","Finland","A humanities discipline (ex. literature, history, philosophy)",NA
19658,29,"Man","East Asian","Sweden","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
19662,22,"Man","Hispanic or Latino/Latina;White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
19665,22,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
19670,28,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Very dissatisfied"
19677,28,"Man","Black or of African descent;Hispanic or Latino/Latina;Multiracial","Peru","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
19678,42,"Man","White or of European descent","Sweden","A natural science (ex. biology, chemistry, physics)","Very satisfied"
19684,33,"Woman","White or of European descent","Germany","A natural science (ex. biology, chemistry, physics)","Very dissatisfied"
19700,43,"Man",NA,"Hungary","Computer science, computer engineering, or software engineering","Very satisfied"
19703,32,"Man","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Neither satisfied nor dissatisfied"
19705,22,"Man","South Asian","Australia",NA,"Very satisfied"
19714,31,"Man","White or of European descent","Norway","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
19716,30,"Man","Hispanic or Latino/Latina","Mexico","Computer science, computer engineering, or software engineering","Slightly satisfied"
19719,40,"Man","White or of European descent","Switzerland","Computer science, computer engineering, or software engineering","Very satisfied"
19722,23,"Man","White or of European descent","Canada","A business discipline (ex. accounting, finance, marketing)",NA
19723,38,"Man","White or of European descent","Greece","Computer science, computer engineering, or software engineering","Very dissatisfied"
19730,29,NA,"Black or of African descent;East Asian;Hispanic or Latino/Latina;Middle Eastern;Native American, Pacific Islander, or Indigenous Australian;South Asian;White or of European descent;Biracial;Multiracial","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
19732,32,"Man",NA,"Mexico",NA,"Slightly satisfied"
19745,34,"Man",NA,"India","Computer science, computer engineering, or software engineering","Very satisfied"
19757,27,"Man","White or of European descent","Russian Federation","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
19759,22,"Man","Native American, Pacific Islander, or Indigenous Australian","Singapore","Computer science, computer engineering, or software engineering",NA
19771,35,"Man","Hispanic or Latino/Latina","Spain","A business discipline (ex. accounting, finance, marketing)","Slightly satisfied"
19775,61,"Man","East Asian","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
19776,25,"Man","White or of European descent","Poland","Computer science, computer engineering, or software engineering","Slightly satisfied"
19778,23,"Man","White or of European descent","Spain","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
19791,40,"Man","White or of European descent","Greece","Computer science, computer engineering, or software engineering","Slightly satisfied"
19792,37,"Man","White or of European descent","New Zealand","Information systems, information technology, or system administration","Very satisfied"
19809,54,"Man","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Slightly dissatisfied"
19816,25,"Man","White or of European descent","Ukraine","Computer science, computer engineering, or software engineering","Slightly satisfied"
19818,NA,"Man",NA,"Italy","Computer science, computer engineering, or software engineering","Very satisfied"
19819,22,"Man","White or of European descent","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
19825,NA,"Woman","East Asian","United States","Computer science, computer engineering, or software engineering","Very satisfied"
19837,40,"Man","Hispanic or Latino/Latina","Panama","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
19845,41,"Man","White or of European descent","Romania","Information systems, information technology, or system administration","Slightly satisfied"
19854,NA,"Man","South Asian","Thailand","Computer science, computer engineering, or software engineering",NA
19855,29,"Man","White or of European descent","Germany","Information systems, information technology, or system administration",NA
19862,48,"Man",NA,"United States","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
19872,NA,"Man",NA,"Germany","A natural science (ex. biology, chemistry, physics)","Very dissatisfied"
19879,NA,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
19893,26,"Woman","White or of European descent","Germany","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
19907,40,"Man","Middle Eastern","Saudi Arabia","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
19914,35,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
19915,23,NA,NA,"Turkey","Web development or web design",NA
19928,33,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Very satisfied"
19941,50,"Man","Hispanic or Latino/Latina","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
19942,22,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Very dissatisfied"
19944,40,"Man","White or of European descent","Bulgaria","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
19957,22,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
19965,53,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
19967,20,"Man","South Asian","India",NA,NA
19968,48,"Man","White or of European descent","United Kingdom",NA,"Slightly satisfied"
19971,33,"Man","White or of European descent","Romania","Computer science, computer engineering, or software engineering","Slightly satisfied"
19973,30,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
19997,30,"Man","White or of European descent","Germany",NA,"Very satisfied"
20021,21,"Man","South Asian","Sri Lanka","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
20027,NA,"Man","White or of European descent","Switzerland","Computer science, computer engineering, or software engineering","Slightly satisfied"
20032,25,"Man",NA,"Nigeria","A business discipline (ex. accounting, finance, marketing)",NA
20035,30,"Man","White or of European descent","Czech Republic","Computer science, computer engineering, or software engineering","Very satisfied"
20040,32,"Man","White or of European descent","Czech Republic","Computer science, computer engineering, or software engineering","Very satisfied"
20041,23,"Man","East Asian;White or of European descent;Biracial","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
20048,37,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Slightly satisfied"
20053,24,"Man","White or of European descent","United States","Mathematics or statistics","Slightly satisfied"
20058,44,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
20062,35,"Man","White or of European descent","United Kingdom","A humanities discipline (ex. literature, history, philosophy)","Very satisfied"
20072,56,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20075,45,"Man","White or of European descent","Switzerland","Computer science, computer engineering, or software engineering","Slightly satisfied"
20083,43,"Man","White or of European descent","United Kingdom","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
20085,28,"Man","White or of European descent","Finland","Computer science, computer engineering, or software engineering","Slightly satisfied"
20087,25,"Man","White or of European descent","Hungary","Computer science, computer engineering, or software engineering","Slightly satisfied"
20089,27,"Man","White or of European descent","United Kingdom","Mathematics or statistics","Very satisfied"
20092,31,"Man","Hispanic or Latino/Latina;White or of European descent","Brazil","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
20123,23,"Man","White or of European descent","Poland","Computer science, computer engineering, or software engineering",NA
20125,22,"Man","East Asian","India","Information systems, information technology, or system administration","Neither satisfied nor dissatisfied"
20128,21,"Man","East Asian","Australia",NA,"Neither satisfied nor dissatisfied"
20130,53,"Man","White or of European descent","Canada","A humanities discipline (ex. literature, history, philosophy)","Slightly satisfied"
20132,33,"Man","Hispanic or Latino/Latina;Multiracial","Brazil","Computer science, computer engineering, or software engineering","Slightly satisfied"
20136,25,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
20137,27,"Man","South Asian","Germany","Computer science, computer engineering, or software engineering","Slightly satisfied"
20139,34,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20143,30,"Man","White or of European descent","Greece","A business discipline (ex. accounting, finance, marketing)",NA
20161,32,"Man","White or of European descent","Greece","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
20169,NA,"Man","East Asian;Hispanic or Latino/Latina;Native American, Pacific Islander, or Indigenous Australian;White or of European descent;Multiracial","Japan","Computer science, computer engineering, or software engineering",NA
20170,27,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Very dissatisfied"
20177,27,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20188,22,"Man","White or of European descent","Spain","Computer science, computer engineering, or software engineering","Slightly satisfied"
20198,28,"Man","Middle Eastern","Denmark","Computer science, computer engineering, or software engineering","Very dissatisfied"
20207,26,"Man","White or of European descent","Belgium","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
20209,NA,"Man","South Asian","India","Information systems, information technology, or system administration","Slightly satisfied"
20214,34,"Man",NA,"United States","Computer science, computer engineering, or software engineering","Very satisfied"
20219,NA,"Woman","South Asian","South Korea",NA,NA
20223,41,"Man",NA,"United States","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
20241,27,"Man","White or of European descent","Netherlands","Information systems, information technology, or system administration","Very satisfied"
20244,30,"Man",NA,"Nepal","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
20245,27,"Man","White or of European descent","France","Computer science, computer engineering, or software engineering","Very satisfied"
20246,24,"Woman","White or of European descent","United States",NA,"Slightly satisfied"
20256,29,"Woman","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20262,25,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
20270,21,"Woman","Native American, Pacific Islander, or Indigenous Australian;White or of European descent;Biracial","United States","Computer science, computer engineering, or software engineering",NA
20277,34,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)",NA
20281,36,"Man","White or of European descent","Canada","A natural science (ex. biology, chemistry, physics)","Slightly dissatisfied"
20282,35,"Man","White or of European descent","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
20287,26,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
20291,46,"Man","Native American, Pacific Islander, or Indigenous Australian","United States","Information systems, information technology, or system administration","Slightly satisfied"
20293,29,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
20297,43,"Man","White or of European descent","Canada","Mathematics or statistics","Slightly satisfied"
20301,24,"Man","White or of European descent","Italy","Computer science, computer engineering, or software engineering","Very satisfied"
20307,NA,NA,NA,"Bulgaria","Computer science, computer engineering, or software engineering","Very satisfied"
20311,35,"Woman","White or of European descent","Serbia","Computer science, computer engineering, or software engineering","Very satisfied"
20312,24,"Man",NA,"United Arab Emirates","Computer science, computer engineering, or software engineering","Slightly satisfied"
20314,23,"Man","White or of European descent","Greece",NA,"Very satisfied"
20329,NA,"Man",NA,"United States","A business discipline (ex. accounting, finance, marketing)","Slightly satisfied"
20332,21,"Man","South Asian","India","Computer science, computer engineering, or software engineering",NA
20341,42,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20347,21,"Man","White or of European descent","Spain","Web development or web design",NA
20350,37,"Man",NA,"Germany","Web development or web design","Very satisfied"
20358,49,"Man",NA,"Australia","A business discipline (ex. accounting, finance, marketing)","Very satisfied"
20364,26,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20366,40,"Man","White or of European descent","Poland","A natural science (ex. biology, chemistry, physics)","Very satisfied"
20372,34,"Man","White or of European descent","Israel","Computer science, computer engineering, or software engineering","Slightly satisfied"
20381,NA,"Man",NA,"Pakistan",NA,"Very satisfied"
20385,29,"Man","White or of European descent","Latvia","Information systems, information technology, or system administration","Slightly satisfied"
20393,NA,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20401,22,"Man","Middle Eastern","Turkey","Computer science, computer engineering, or software engineering",NA
20407,32,"Man","White or of European descent","United Kingdom","A natural science (ex. biology, chemistry, physics)","Neither satisfied nor dissatisfied"
20410,35,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
20413,23,"Man",NA,"India","Computer science, computer engineering, or software engineering",NA
20421,26,"Man","Middle Eastern;White or of European descent","Iran","Computer science, computer engineering, or software engineering","Slightly satisfied"
20433,45,"Man","East Asian","United Kingdom",NA,NA
20450,22,"Man",NA,"India","Information systems, information technology, or system administration","Slightly dissatisfied"
20452,23,"Man","South Asian","Nepal","Computer science, computer engineering, or software engineering","Very satisfied"
20455,27,"Man","White or of European descent","Australia","A health science (ex. nursing, pharmacy, radiology)","Very satisfied"
20466,34,"Man","White or of European descent","United States","Fine arts or performing arts (ex. graphic design, music, studio art)","Very satisfied"
20482,43,"Man","White or of European descent","Australia","Computer science, computer engineering, or software engineering","Very satisfied"
20501,40,"Man",NA,"Canada","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
20536,49,"Man","White or of European descent","Australia",NA,"Very satisfied"
20550,NA,"Man","White or of European descent","Slovenia","Mathematics or statistics","Very dissatisfied"
20553,25,"Man","South Asian","Pakistan","Computer science, computer engineering, or software engineering",NA
20555,24,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Very satisfied"
20558,32,"Man","White or of European descent","Lithuania","Mathematics or statistics","Slightly satisfied"
20561,41,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
20566,33,"Man","White or of European descent","Canada","Computer science, computer engineering, or software engineering","Slightly satisfied"
20580,25,"Man","East Asian","Viet Nam","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
20583,19,"Man","Black or of African descent","Nigeria","I never declared a major",NA
20592,33,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20596,21,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
20599,27,"Man","White or of European descent","Austria","Computer science, computer engineering, or software engineering","Slightly satisfied"
20605,29,"Man","White or of European descent","Australia",NA,"Slightly satisfied"
20629,33,"Man","White or of European descent","United States","A health science (ex. nursing, pharmacy, radiology)","Slightly dissatisfied"
20641,37,"Man","Biracial","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20648,27,"Woman","White or of European descent","United Kingdom","Fine arts or performing arts (ex. graphic design, music, studio art)","Very satisfied"
20652,23,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Slightly satisfied"
20659,NA,"Man","White or of European descent","United States",NA,"Very satisfied"
20674,41,"Man","White or of European descent","Poland","A business discipline (ex. accounting, finance, marketing)","Slightly dissatisfied"
20679,32,"Woman","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Neither satisfied nor dissatisfied"
20682,28,"Woman","White or of European descent","South Africa","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
20688,38,"Man","Multiracial","Brazil","A business discipline (ex. accounting, finance, marketing)",NA
20692,32,"Man",NA,"United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
20694,35,"Man","White or of European descent","United States","A natural science (ex. biology, chemistry, physics)","Very satisfied"
20697,28,"Man","Hispanic or Latino/Latina","Mexico","A natural science (ex. biology, chemistry, physics)","Slightly dissatisfied"
20700,26,"Man","East Asian;South Asian","United States","Mathematics or statistics","Slightly satisfied"
20716,28,"Man","White or of European descent","Russian Federation","I never declared a major","Slightly satisfied"
20748,NA,"Man","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
20750,55,NA,NA,"Germany","Computer science, computer engineering, or software engineering","Slightly satisfied"
20756,24,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
20772,31,"Man","White or of European descent","United States","Fine arts or performing arts (ex. graphic design, music, studio art)","Slightly satisfied"
20778,26,"Man",NA,"United States","A humanities discipline (ex. literature, history, philosophy)","Slightly dissatisfied"
20788,33,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
20794,25,"Man","White or of European descent","Australia",NA,"Slightly dissatisfied"
20798,32,"Woman","Middle Eastern","Canada","Computer science, computer engineering, or software engineering",NA
20799,NA,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
20809,23,"Woman","White or of European descent","United Kingdom","A natural science (ex. biology, chemistry, physics)","Very satisfied"
20814,19,"Man","White or of European descent","United States",NA,NA
20820,42,"Man","White or of European descent","Iceland","A social science (ex. anthropology, psychology, political science)","Slightly satisfied"
20831,23,"Woman","White or of European descent","Bulgaria","Computer science, computer engineering, or software engineering",NA
20842,31,"Man","White or of European descent","Netherlands","Another engineering discipline (ex. civil, electrical, mechanical)","Very dissatisfied"
20847,23,"Man",NA,"Mexico","Information systems, information technology, or system administration","Slightly satisfied"
20849,47,"Man","Middle Eastern;White or of European descent","Egypt","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
20855,NA,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
20858,25,"Man","East Asian","India","Information systems, information technology, or system administration","Slightly dissatisfied"
20861,NA,NA,NA,"Serbia","Another engineering discipline (ex. civil, electrical, mechanical)",NA
20863,50,"Man","White or of European descent","United States","Mathematics or statistics","Very dissatisfied"
20876,44,"Man","White or of European descent","United Kingdom","A natural science (ex. biology, chemistry, physics)","Very satisfied"
20883,27,"Man","Middle Eastern","Turkey","Computer science, computer engineering, or software engineering","Slightly satisfied"
20885,34,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
20894,43,"Man","White or of European descent","Spain","A natural science (ex. biology, chemistry, physics)","Very satisfied"
20904,49,"Man","White or of European descent","Norway","Computer science, computer engineering, or software engineering","Very satisfied"
20906,32,NA,"Multiracial","United States","Computer science, computer engineering, or software engineering",NA
20910,24,"Man","Hispanic or Latino/Latina","United States","Computer science, computer engineering, or software engineering",NA
20923,47,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
20928,28,"Man","Hispanic or Latino/Latina;White or of European descent","United States","Mathematics or statistics","Very satisfied"
20930,43,"Man","White or of European descent","Italy","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly satisfied"
20942,NA,"Man","White or of European descent","Poland",NA,"Very satisfied"
20944,23,"Man","Hispanic or Latino/Latina","United States","Computer science, computer engineering, or software engineering",NA
20948,25,"Man","White or of European descent","France","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
20956,29,"Man","Hispanic or Latino/Latina;White or of European descent","Finland","Mathematics or statistics","Slightly satisfied"
20960,NA,"Man",NA,"Austria","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
20979,27,"Man",NA,"Sri Lanka","Computer science, computer engineering, or software engineering","Very satisfied"
20989,23,"Man","South Asian","India","Computer science, computer engineering, or software engineering",NA
21002,28,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
21005,28,"Man","White or of European descent","United States","Mathematics or statistics","Neither satisfied nor dissatisfied"
21007,39,"Man;Non-binary, genderqueer, or gender non-conforming","White or of European descent","Netherlands","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
21009,27,"Woman","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
21015,47,"Man","Black or of African descent","Côte d'Ivoire","Computer science, computer engineering, or software engineering",NA
21036,25,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
21037,42,"Man",NA,"India","A business discipline (ex. accounting, finance, marketing)","Slightly satisfied"
21044,45,"Man","Hispanic or Latino/Latina","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
21048,28,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Slightly dissatisfied"
21052,35,"Man","Middle Eastern","Turkey","Another engineering discipline (ex. civil, electrical, mechanical)","Very dissatisfied"
21057,24,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
21058,35,"Man","White or of European descent","Poland","Computer science, computer engineering, or software engineering","Slightly satisfied"
21060,44,"Man","White or of European descent","Germany","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
21069,30,"Man","South Asian","Japan",NA,"Slightly satisfied"
21081,NA,"Woman","White or of European descent","Poland",NA,"Very satisfied"
21100,24,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
21124,47,"Man","White or of European descent","Australia","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
21125,25,"Man",NA,"India","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
21136,23,"Man","White or of European descent","Russian Federation","Another engineering discipline (ex. civil, electrical, mechanical)","Very dissatisfied"
21138,29,"Man","South Asian","Germany","Computer science, computer engineering, or software engineering","Very satisfied"
21139,35,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
21148,NA,NA,NA,"India","Computer science, computer engineering, or software engineering","Very satisfied"
21150,33,"Man","White or of European descent","Germany","Mathematics or statistics","Very satisfied"
21154,29,"Man","White or of European descent","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very dissatisfied"
21174,35,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
21182,26,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very dissatisfied"
21193,25,"Man","White or of European descent","Australia","Mathematics or statistics","Slightly satisfied"
21205,NA,"Woman","East Asian","United States","Mathematics or statistics","Very satisfied"
21220,26,"Man","White or of European descent","Poland","Mathematics or statistics","Slightly satisfied"
21223,32,"Man","White or of European descent","Switzerland","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
21236,28,"Man","White or of European descent","Poland","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
21244,29,"Man","South Asian","United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
21259,37,"Man","White or of European descent","United States","A business discipline (ex. accounting, finance, marketing)","Slightly satisfied"
21264,31,"Man","South Asian","Germany","Another engineering discipline (ex. civil, electrical, mechanical)",NA
21270,28,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
21273,34,"Man","White or of European descent","United States","A social science (ex. anthropology, psychology, political science)","Neither satisfied nor dissatisfied"
21280,41,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering","Very satisfied"
21291,26,"Man",NA,"United States","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
21306,53,"Man","White or of European descent","United Kingdom","Another engineering discipline (ex. civil, electrical, mechanical)","Neither satisfied nor dissatisfied"
21310,25,"Man","South Asian","India","Information systems, information technology, or system administration",NA
21314,27,"Man","White or of European descent","United States","Information systems, information technology, or system administration","Very satisfied"
21319,28,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
21322,29,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Slightly satisfied"
21325,NA,"Man","White or of European descent","Czech Republic","Information systems, information technology, or system administration","Slightly satisfied"
21330,25,"Woman","White or of European descent","Greece","Computer science, computer engineering, or software engineering","Slightly satisfied"
21337,33,"Man","Hispanic or Latino/Latina;Middle Eastern;White or of European descent","Luxembourg",NA,"Slightly dissatisfied"
21338,23,"Man","White or of European descent","Spain","A natural science (ex. biology, chemistry, physics)",NA
21366,19.5,"Man;Non-binary, genderqueer, or gender non-conforming","Black or of African descent;White or of European descent","Italy",NA,NA
21376,52,"Woman","Native American, Pacific Islander, or Indigenous Australian;White or of European descent","United States","Information systems, information technology, or system administration","Neither satisfied nor dissatisfied"
21385,44,"Man","Black or of African descent","Uganda","Computer science, computer engineering, or software engineering","Slightly satisfied"
21398,29,"Non-binary, genderqueer, or gender non-conforming","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
21412,30,"Man","Hispanic or Latino/Latina","Peru","Web development or web design","Very dissatisfied"
21418,19,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
21422,35,"Man","White or of European descent","Poland","A business discipline (ex. accounting, finance, marketing)",NA
21423,40,"Man","White or of European descent","United States","Fine arts or performing arts (ex. graphic design, music, studio art)","Very satisfied"
21446,34,"Man","White or of European descent","Hungary","Computer science, computer engineering, or software engineering","Slightly satisfied"
21451,44,"Man",NA,"United States","Computer science, computer engineering, or software engineering","Very dissatisfied"
21457,25,"Man","White or of European descent","United States","Mathematics or statistics","Very dissatisfied"
21461,30,"Man","Hispanic or Latino/Latina","Cuba","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
21463,30,"Man","Hispanic or Latino/Latina;White or of European descent","Ukraine",NA,"Slightly satisfied"
21478,27,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
21485,NA,NA,NA,"Portugal","A natural science (ex. biology, chemistry, physics)","Very satisfied"
21491,28,"Man","White or of European descent","United States","Computer science, computer engineering, or software engineering","Very satisfied"
21497,32,"Man","White or of European descent","Bulgaria","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
21500,28,"Man","White or of European descent","France","Computer science, computer engineering, or software engineering","Very satisfied"
21503,25,"Man","White or of European descent","United States",NA,"Slightly satisfied"
21515,25,"Man",NA,"Indonesia","Computer science, computer engineering, or software engineering","Slightly satisfied"
21518,26,"Man","White or of European descent","New Zealand","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
21523,20,"Man","White or of European descent","France","Computer science, computer engineering, or software engineering",NA
21525,28,"Man","South Asian","United States","Computer science, computer engineering, or software engineering","Very satisfied"
21532,33,"Man","Hispanic or Latino/Latina;White or of European descent","Argentina","Information systems, information technology, or system administration","Slightly satisfied"
21534,58,"Man",NA,"United States","Computer science, computer engineering, or software engineering","Very satisfied"
21537,45,"Man","Black or of African descent","South Africa","Another engineering discipline (ex. civil, electrical, mechanical)","Very satisfied"
21538,45,"Man","Hispanic or Latino/Latina;White or of European descent","France","Another engineering discipline (ex. civil, electrical, mechanical)","Slightly dissatisfied"
21544,29,"Man","White or of European descent","Russian Federation",NA,"Slightly satisfied"
21545,41,"Man","Middle Eastern","United Arab Emirates","Computer science, computer engineering, or software engineering",NA
21547,48,"Man","Middle Eastern","Turkey","A business discipline (ex. accounting, finance, marketing)","Neither satisfied nor dissatisfied"
21549,28,"Man","White or of European descent","Australia","Computer science, computer engineering, or software engineering","Very dissatisfied"
21552,NA,"Man","White or of European descent","Germany","Computer science, computer engineering, or software engineering",NA
21563,33,"Man","South Asian","India","Computer science, computer engineering, or software engineering","Slightly dissatisfied"
21569,38,"Man","White or of European descent","United States","A humanities discipline (ex. literature, history, philosophy)","Slightly satisfied"
21574,50,"Man","Hispanic or Latino/Latina","Brazil","A health science (ex. nursing, pharmacy, radiology)","Very dissatisfied"
21576,27,"Man","South Asian","Singapore","Computer science, computer engineering, or software engineering","Very satisfied"
21580,36,"Man","White or of European descent","United Kingdom","A natural science (ex. biology, chemistry, physics)","Slightly dissatisfied"
21584,39,"Woman","Black or of African descent;White or of European descent;Biracial","United States","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
21585,31,"Man","White or of European descent","Hungary","Information systems, information technology, or system administration","Very satisfied"
21587,32,"Man","White or of European descent","Canada","Mathematics or statistics","Slightly dissatisfied"
21591,NA,"Man","White or of European descent","Brazil","A natural science (ex. biology, chemistry, physics)","Slightly satisfied"
21594,33,"Man","White or of European descent","Poland","Information systems, information technology, or system administration","Slightly satisfied"
21597,42,"Man","East Asian","United States","A natural science (ex. biology, chemistry, physics)","Very dissatisfied"
21604,24,"Man","East Asian","India","Computer science, computer engineering, or software engineering","Very dissatisfied"
21607,30,"Man","White or of European descent","United Kingdom","Computer science, computer engineering, or software engineering","Slightly satisfied"
21624,21,"Man",NA,"United Kingdom","Computer science, computer engineering, or software engineering",NA
21630,25,"Man","Multiracial","United States","Web development or web design","Very dissatisfied"
21631,22,"Woman","South Asian","India","Computer science, computer engineering, or software engineering","Slightly satisfied"
21632,NA,"Man","White or of European descent","Thailand","Computer science, computer engineering, or software engineering","Neither satisfied nor dissatisfied"
